::1 - - [12/Sep/2019:19:21:19 -0300] "GET /phpmyadmin/ HTTP/1.1" 200 8024
::1 - - [12/Sep/2019:19:21:20 -0300] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=a30bb7c9bbdddb059128bdc932b46cfa&nocache=4668183971ltr HTTP/1.1" 200 88608
::1 - - [12/Sep/2019:19:21:20 -0300] "GET /phpmyadmin/js/messages.php?lang=pt&db=&server=0&token=5b61b48fa737c2e944f79600255ffaad HTTP/1.1" 200 18103
::1 - - [12/Sep/2019:19:21:20 -0300] "GET /phpmyadmin/js/get_image.js.php?theme=pmahomme HTTP/1.1" 200 6263
::1 - - [12/Sep/2019:19:21:20 -0300] "GET /phpmyadmin/js/get_scripts.js.php?scripts[]=jquery/jquery-1.8.3.js&scripts[]=ajax.js&scripts[]=keyhandler.js&scripts[]=jquery/jquery-ui-1.9.2.custom.js&scripts[]=jquery/jquery.sprintf.js&scripts[]=jquery/jquery.cookie.js&scripts[]=jquery/jquery.mousewheel.js&scripts[]=jquery/jquery.event.drag-2.2.js&scripts[]=jquery/jquery-ui-timepicker-addon.js&scripts[]=jquery/jquery.ba-hashchange-1.3.js&scripts[]=jquery/jquery.debounce-1.0.5.js&scripts[]=jquery/jquery.menuResizer-1.0.js&scripts[]=rte.js&scripts[]=functions.js&scripts[]=navigation.js&scripts[]=indexes.js&scripts[]=common.js&scripts[]=codemirror/lib/codemirror.js&scripts[]=codemirror/mode/mysql/mysql.js HTTP/1.1" 200 578562
::1 - - [12/Sep/2019:19:21:24 -0300] "POST /phpmyadmin/index.php HTTP/1.1" 302 -
::1 - - [12/Sep/2019:19:21:24 -0300] "GET /phpmyadmin/index.php?token=a30bb7c9bbdddb059128bdc932b46cfa HTTP/1.1" 200 49588
::1 - - [12/Sep/2019:19:21:25 -0300] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=a30bb7c9bbdddb059128bdc932b46cfa&nocache=6236510856ltr HTTP/1.1" 200 88608
::1 - - [12/Sep/2019:19:21:25 -0300] "GET /phpmyadmin/js/messages.php?lang=pt&db=&server=0&token=a30bb7c9bbdddb059128bdc932b46cfa HTTP/1.1" 200 18103
::1 - - [12/Sep/2019:19:21:25 -0300] "GET /phpmyadmin/version_check.php?&_nocache=156832688557842179 HTTP/1.1" 200 41
::1 - - [12/Sep/2019:19:21:27 -0300] "GET /phpmyadmin/navigation.php?ajax_request=1&token=a30bb7c9bbdddb059128bdc932b46cfa&aPath=cm9vdA%3D%3D.c2l0ZV9leGVtcGxv&vPath=cm9vdA%3D%3D.c2l0ZV9leGVtcGxv&pos=0&pos2_name=&pos2_value=&searchClause=&searchClause2=&_nocache=1568326887678364700 HTTP/1.1" 200 4590
